epoch,lr,loss,loss_pde,loss_bcic,loss_stl,robustness
0,0.002,7.054254531860352,1.0529868602752686,2.2735447883605957,3.727722644805908,-0.7454866766929626
1,0.002,0.4744459092617035,0.06312931329011917,0.4113166034221649,0.0,0.0
2,0.002,1.3971648216247559,0.22656972706317902,1.1705248355865479,7.023468060651794e-05,0.8870450854301453
3,0.002,2.581777572631836,0.7002407312393188,1.8815369606018066,0.0,0.0
4,0.002,2.622176170349121,0.8730930685997009,1.7490100860595703,7.299344724742696e-05,0.8831920623779297
5,0.002,1.8394708633422852,0.7192671895027161,1.1202036142349243,0.0,0.0
6,0.002,0.9310415983200073,0.4273959994316101,0.5017658472061157,0.0018797433003783226,0.5581592321395874
7,0.002,0.36468368768692017,0.1735703945159912,0.19111329317092896,0.0,0.0
8,0.002,0.34579649567604065,0.0547647550702095,0.2296537458896637,0.061378009617328644,0.20355506241321564
9,0.002,0.5252873301506042,0.07260318845510483,0.4526841640472412,0.0,0.0
10,0.002,1.3863370418548584,0.1607053130865097,0.6781266927719116,0.5475050806999207,-0.06877391785383224
11,0.002,0.7827362418174744,0.1688416749238968,0.6138945817947388,0.0,0.0
12,0.002,0.8769412040710449,0.12871207296848297,0.481817364692688,0.26641175150871277,0.035135187208652496
13,0.002,0.35103535652160645,0.0515889972448349,0.29944637417793274,0.0,0.0
14,0.002,0.23710887134075165,0.01665344089269638,0.20144326984882355,0.01901216246187687,0.3250456750392914
15,0.002,0.22701385617256165,0.04161405563354492,0.18539980053901672,0.0,0.0
16,0.002,0.3376311659812927,0.11473255604505539,0.2160627692937851,0.006835841573774815,0.42855849862098694
17,0.002,0.4536671042442322,0.20023249089717865,0.25343459844589233,0.0,0.0
18,0.002,0.5325751304626465,0.25912630558013916,0.2652571499347687,0.008191694505512714,0.4103284478187561
19,0.002,0.5094192028045654,0.26464688777923584,0.2447723001241684,0.0,0.0
20,0.002,0.4331851303577423,0.2196168750524521,0.19869565963745117,0.014872575178742409,0.3500179648399353
21,0.002,0.29503077268600464,0.14439690113067627,0.15063385665416718,0.0,0.0
22,0.002,0.21741415560245514,0.0731131061911583,0.11719121038913727,0.027109846472740173,0.2887478768825531
23,0.002,0.1401207596063614,0.027716845273971558,0.11240391433238983,0.0,0.0
24,0.002,0.19889993965625763,0.017928382381796837,0.1319325864315033,0.049038972705602646,0.22725529968738556
25,0.002,0.19689008593559265,0.033888645470142365,0.16300144791603088,0.0,0.0
26,0.002,0.33868759870529175,0.05550737306475639,0.18980160355567932,0.09337863326072693,0.1583114117383957
27,0.002,0.2554032802581787,0.06381873786449432,0.19158455729484558,0.0,0.0
28,0.002,0.3185524046421051,0.05511251837015152,0.17634697258472443,0.08709290623664856,0.16592758893966675
29,0.002,0.18183602392673492,0.036073699593544006,0.14576232433319092,0.0,0.0
30,0.002,0.19001621007919312,0.020778557285666466,0.11768561601638794,0.051552049815654755,0.22200213372707367
31,0.002,0.12015686929225922,0.019242439419031143,0.10091443359851837,0.0,0.0
32,0.002,0.16752786934375763,0.032103557139635086,0.0949164405465126,0.04050786793231964,0.2472330629825592
33,0.002,0.1511812061071396,0.05120277404785156,0.09997843205928802,0.0,0.0
34,0.002,0.2107071429491043,0.06836074590682983,0.1043204739689827,0.03802592679858208,0.25380730628967285
35,0.002,0.1813964694738388,0.07276454567909241,0.1086319237947464,0.0,0.0
36,0.002,0.20848554372787476,0.06629626452922821,0.10406694561243057,0.03812231868505478,0.2535443603992462
37,0.002,0.14884153008460999,0.0496114119887352,0.09923011809587479,0.0,0.0
38,0.002,0.1661921739578247,0.032896652817726135,0.09037736058235168,0.042918168008327484,0.2412087768316269
39,0.002,0.10772249847650528,0.019372394308447838,0.08835010230541229,0.0,0.0
